start_idx,end_idx,duration[ms],start_time,end_time
31,53,108.13330078125,1703787486985.7769,1703787487093.9102
273,292,92.033203125,1703787488197.788,1703787488289.8213
356,375,96.04443359375,1703787488609.7769,1703787488705.8213
538,559,103.97802734375,1703787489522.009,1703787489625.987
761,790,148.01123046875,1703787490637.998,1703787490786.0093
804,825,104.02197265625,1703787490853.9983,1703787490958.0203
826,855,144.111083984375,1703787490965.9758,1703787491110.087
985,1005,100.0,1703787491762.0203,1703787491862.0203
1103,1123,99.966552734375,1703787492349.7253,1703787492449.692
1124,1151,132.01123046875,1703787492457.692,1703787492589.7031
1230,1250,99.966796875,1703787492985.7363,1703787493085.7031
1516,1562,231.966796875,1703787494417.7363,1703787494649.7031
1565,1600,171.9619140625,1703787494665.7363,1703787494837.6982
1644,1663,96.010986328125,1703787495057.7317,1703787495153.7427
1664,1686,107.977783203125,1703787495161.7427,1703787495269.7205
1687,1712,128.010986328125,1703787495273.6982,1703787495401.7092
1744,1767,112.066650390625,1703787495561.7205,1703787495673.787
1768,1806,188.033447265625,1703787495681.7205,1703787495869.754
1836,1856,100.010986328125,1703787496021.7317,1703787496121.7427
1857,1939,412.044677734375,1703787496125.7092,1703787496537.754
1940,1967,135.999755859375,1703787496541.743,1703787496677.7427
